				Healthy						Sick					
Q86U17	Serpin A11 OS=Homo sapiens GN=SERPINA11 PE=2 SV=2	0.573	0.687	0.682	0.116	0.160	0.015	0.022	0.019	0.220	0.172	0.264	0.066	0.075	0.021
Q13011	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens GN=ECH1 PE=1 SV=2	0.016	0.053	0.716	0.593	0.647	0.831	0.745	0.668	0.904	1.283	1.516	1.475	0.696	0.906
P20742	Pregnancy zone protein OS=Homo sapiens GN=PZP PE=1 SV=4	0.017	0.054	0.374	0.325	0.520	0.293	0.260	0.266	0.515	0.598	0.804	1.237	0.411	0.404
P15169	Carboxypeptidase N catalytic chain OS=Homo sapiens GN=CPN1 PE=1 SV=1	0.464	0.591	0.664	0.758	0.964	0.445	1.163	0.811	0.563	1.202	1.818	0.458	0.901	1.286
P00450	Ceruloplasmin OS=Homo sapiens GN=CP PE=1 SV=1	0.276	0.406	0.832	0.289	0.513	0.185	0.335	0.316	0.378	0.317	0.564	0.201	0.147	0.143
Q14126	Desmoglein-2 OS=Homo sapiens GN=DSG2 PE=1 SV=2	0.704	0.791	0.603	0.089	0.087	0.379	0.419	0.453	3.124	0.126	0.144	0.360	0.207	0.323
P43235	Cathepsin K OS=Homo sapiens GN=CTSK PE=1 SV=1	0.402	0.529	0.715	0.610	0.508	0.178	0.135	0.243	0.652	0.607	0.702	0.643	0.278	0.180
Q6UWP8	Suprabasin OS=Homo sapiens GN=SBSN PE=1 SV=2	0.423	0.552	0.562	0.625	1.173	0.448	0.920	0.560	0.529	0.903	0.959	1.171	1.071	0.480
P31151	Protein S100-A7 OS=Homo sapiens GN=S100A7 PE=1 SV=4	0.719	0.806	1.043	0.669	1.173	1.648	1.151	1.664	1.509	0.881	1.892	1.290	0.737	1.706
P08493	Matrix Gla protein OS=Homo sapiens GN=MGP PE=1 SV=2	0.114	0.211	0.970	0.863	0.767	0.681	0.787	0.683	0.802	2.187	0.960	1.418	0.859	0.791
P07359	Platelet glycoprotein Ib alpha chain OS=Homo sapiens GN=GP1BA PE=1 SV=2	0.270	0.399	1.411	1.702	2.151	1.061	1.397	1.539	1.219	0.961	1.091	1.297	1.928	1.413
Q8IYS5	Osteoclast-associated immunoglobulin-like receptor OS=Homo sapiens GN=OSCAR PE=1 SV=3	0.001	0.006	0.486	0.177	0.412	0.369	0.394	0.386	1.211	0.872	1.318	0.946	0.923	0.527
Q9HDC9	Adipocyte plasma membrane-associated protein OS=Homo sapiens GN=APMAP PE=1 SV=2	0.075	0.155	2.214	1.138	5.519	1.534	1.428	1.370	0.397	0.774	0.497	1.804	1.617	1.398
P16109	P-selectin OS=Homo sapiens GN=SELP PE=1 SV=3	0.437	0.566	3.372	2.179	2.017	0.364	0.406	0.364	1.111	1.707	2.731	1.268	0.835	1.402
Q15435	Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens GN=PPP1R7 PE=1 SV=1	0.424	0.553	1.054	1.098	0.816	1.154	0.852	1.267	0.717	1.296	2.411	1.400	0.962	0.997
O75342	Arachidonate 12-lipoxygenase, 12R-type OS=Homo sapiens GN=ALOX12B PE=1 SV=1	0.886	0.923	1.156	0.857	1.095	1.160	1.081	1.004	0.626	0.892	2.523	1.207	0.980	0.678
Q15517	Corneodesmosin OS=Homo sapiens GN=CDSN PE=1 SV=3	0.760	0.842	0.785	0.105	0.148	0.064	0.088	0.093	0.741	0.346	0.342	0.055	0.072	0.056
Q6UX71	Plexin domain-containing protein 2 OS=Homo sapiens GN=PLXDC2 PE=1 SV=1	0.298	0.428	0.580	0.438	0.846	0.629	1.052	2.270	1.088	1.241	2.749	1.686	0.620	0.714
Q8WVV4	Protein POF1B OS=Homo sapiens GN=POF1B PE=1 SV=3	0.142	0.250	1.065	1.109	0.687	1.221	1.174	0.979	0.790	0.866	1.012	0.961	0.687	0.917
P08195	4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2 PE=1 SV=3	0.005	0.023	0.842	0.821	2.411	1.202	2.280	1.268	0.396	0.730	0.653	0.496	0.566	0.695
Q9UEW3	Macrophage receptor MARCO OS=Homo sapiens GN=MARCO PE=1 SV=1	0.546	0.662	0.611	0.163	0.301	0.188	0.192	0.201	0.666	0.178	0.408	0.124	0.111	0.072
P55268	Laminin subunit beta-2 OS=Homo sapiens GN=LAMB2 PE=1 SV=2	0.871	0.914	0.418	0.624	0.881	0.758	0.739	0.754	0.373	0.810	1.013	0.784	0.525	0.643
P16152	Carbonyl reductase [NADPH] 1 OS=Homo sapiens GN=CBR1 PE=1 SV=3	0.035	0.090	0.446	0.236	0.302	0.327	0.443	0.430	1.760	0.701	0.996	0.585	0.425	0.370
P12883	Myosin-7 OS=Homo sapiens GN=MYH7 PE=1 SV=5	0.818	0.882	0.786	0.606	0.636	1.099	0.654	0.799	0.377	0.661	0.602	1.261	1.537	0.830
P20851	C4b-binding protein beta chain OS=Homo sapiens GN=C4BPB PE=1 SV=1	0.343	0.475	0.717	0.634	0.582	1.317	1.361	1.469	0.707	1.115	1.034	0.712	0.585	0.587
P40189	Interleukin-6 receptor subunit beta OS=Homo sapiens GN=IL6ST PE=1 SV=2	0.299	0.428	0.561	0.209	0.445	0.065	0.099	0.090	6.089	0.407	0.468	0.174	0.314	0.060
Q01459	Di-N-acetylchitobiase OS=Homo sapiens GN=CTBS PE=1 SV=1	0.314	0.444	0.366	0.352	0.430	0.156	1.338	0.753	0.153	1.196	4.800	0.428	0.844	0.966
P11226	Mannose-binding protein C OS=Homo sapiens GN=MBL2 PE=1 SV=2	0.250	0.378	0.885	0.550	0.572	0.242	0.391	0.355	0.817	0.311	0.440	0.268	0.205	0.176
Q02763	Angiopoietin-1 receptor OS=Homo sapiens GN=TEK PE=1 SV=2	0.003	0.015	0.010	0.158	0.100	0.106	0.112	0.108	0.565	0.752	0.287	0.516	1.007	0.792
Q9H4G4	Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3	0.028	0.077	0.224	0.144	0.248	0.166	0.262	0.219	0.744	0.512	0.584	0.477	0.251	0.173
Q13740	CD166 antigen OS=Homo sapiens GN=ALCAM PE=1 SV=2	0.020	0.060	0.508	0.341	0.652	0.377	0.573	0.519	1.377	0.675	1.228	0.815	0.674	0.504
P48594	Serpin B4 OS=Homo sapiens GN=SERPINB4 PE=1 SV=2	0.186	0.305	0.404	0.515	0.493	0.554	0.989	1.059	1.766	0.456	0.929	1.508	0.528	1.067
Q9UNN8	Endothelial protein C receptor OS=Homo sapiens GN=PROCR PE=1 SV=1	0.069	0.146	0.893	0.751	0.753	0.944	1.195	0.891	2.054	2.539	1.560	0.889	0.785	1.249
Q9BY67	Cell adhesion molecule 1 OS=Homo sapiens GN=CADM1 PE=1 SV=2	0.346	0.476	1.101	0.942	0.968	1.154	0.888	0.449	1.099	0.772	0.744	0.769	0.581	0.598
P26992	Ciliary neurotrophic factor receptor subunit alpha OS=Homo sapiens GN=CNTFR PE=1 SV=2	0.006	0.025	0.609	0.385	0.520	0.512	0.421	0.358	1.245	0.881	1.364	2.471	0.582	0.849
Q8TER0	Sushi, nidogen and EGF-like domain-containing protein 1 OS=Homo sapiens GN=SNED1 PE=2 SV=2	0.030	0.080	0.112	0.174	0.228	0.513	0.469	0.418	0.849	0.504	0.598	0.822	0.495	0.399
Q9BWP8	Collectin-11 OS=Homo sapiens GN=COLEC11 PE=1 SV=1	0.554	0.668	1.627	2.756	0.846	0.555	1.097	0.744	1.077	0.709	1.942	0.940	0.637	0.655
P00751	Complement factor B OS=Homo sapiens GN=CFB PE=1 SV=2	0.077	0.158	0.538	0.177	0.207	0.364	0.345	0.352	1.508	0.699	0.813	0.561	0.353	0.233
Q96AP7	Endothelial cell-selective adhesion molecule OS=Homo sapiens GN=ESAM PE=1 SV=1	0.002	0.012	0.299	0.289	0.322	0.364	0.308	0.383	0.920	1.108	1.111	3.020	1.028	0.609
P07333	Macrophage colony-stimulating factor 1 receptor OS=Homo sapiens GN=CSF1R PE=1 SV=2	0.048	0.112	0.674	0.244	0.739	0.093	0.105	0.109	1.443	1.785	1.644	0.468	0.287	0.288
Q13508	Ecto-ADP-ribosyltransferase 3 OS=Homo sapiens GN=ART3 PE=1 SV=2	0.000	0.001	0.339	0.278	0.285	0.404	0.308	0.347	0.985	1.079	1.910	1.950	1.391	1.203
P02747	Complement C1q subcomponent subunit C OS=Homo sapiens GN=C1QC PE=1 SV=3	0.001	0.005	0.455	0.390	0.394	0.218	0.514	0.427	0.816	1.155	0.996	1.663	0.684	0.748
O15031	Plexin-B2 OS=Homo sapiens GN=PLXNB2 PE=1 SV=3	0.017	0.054	0.630	0.577	0.488	0.668	0.555	0.554	0.937	0.764	1.226	1.446	1.024	0.537
Q96HU8	GTP-binding protein Di-Ras2 OS=Homo sapiens GN=DIRAS2 PE=1 SV=1	0.011	0.040	0.837	0.933	0.626	0.924	1.190	0.995	0.571	0.657	0.607	0.900	0.562	0.527
P22352	Glutathione peroxidase 3 OS=Homo sapiens GN=GPX3 PE=1 SV=2	0.218	0.344	0.499	0.407	0.282	0.297	0.276	0.293	2.385	0.556	1.033	0.367	0.373	0.178
Q9HBB8	Cadherin-related family member 5 OS=Homo sapiens GN=CDHR5 PE=1 SV=3	0.257	0.385	0.852	0.774	0.654	0.328	0.874	0.228	1.772	1.625	1.408	0.275	0.694	0.563
Q15828	Cystatin-M OS=Homo sapiens GN=CST6 PE=1 SV=1	0.516	0.637	1.003	0.833	0.843	1.158	1.115	0.968	0.821	1.140	0.986	0.836	0.859	0.976
O75340	Programmed cell death protein 6 OS=Homo sapiens GN=PDCD6 PE=1 SV=1	0.520	0.638	0.305	0.332	0.242	1.020	1.952	1.828	0.763	0.972	1.289	0.856	0.816	0.685
P28827	Receptor-type tyrosine-protein phosphatase mu OS=Homo sapiens GN=PTPRM PE=1 SV=2	0.813	0.879	0.893	0.837	0.891	1.261	1.165	1.031	0.961	0.975	1.178	1.165	0.809	0.847
Q9H8L6	Multimerin-2 OS=Homo sapiens GN=MMRN2 PE=1 SV=2	0.000	0.003	1.284	1.264	1.600	2.031	1.938	2.051	0.596	0.752	0.809	0.871	0.567	1.053
P24593	Insulin-like growth factor-binding protein 5 OS=Homo sapiens GN=IGFBP5 PE=1 SV=1	0.047	0.111	1.521	2.351	1.228	0.830	1.502	0.972	0.984	0.765	1.203	1.085	0.570	0.697
P04003	C4b-binding protein alpha chain OS=Homo sapiens GN=C4BPA PE=1 SV=2	0.058	0.129	0.915	0.552	0.531	0.595	1.315	1.118	0.885	1.435	1.765	1.575	0.721	1.493
Q6P179	Endoplasmic reticulum aminopeptidase 2 OS=Homo sapiens GN=ERAP2 PE=1 SV=2	0.167	0.284	0.692	0.203	0.252	0.183	0.242	0.167	0.774	0.381	0.504	0.290	0.327	0.223
Q10588	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 OS=Homo sapiens GN=BST1 PE=1 SV=2	0.186	0.306	0.170	0.198	0.253	0.968	1.750	1.830	0.745	1.020	1.082	2.576	1.219	0.769
P11277	Spectrin beta chain, erythrocytic OS=Homo sapiens GN=SPTB PE=1 SV=5	0.002	0.011	0.577	0.480	0.696	1.003	0.648	0.456	1.340	1.442	1.252	2.463	0.818	1.505
Q86UN3	Reticulon-4 receptor-like 2 OS=Homo sapiens GN=RTN4RL2 PE=1 SV=1	0.034	0.087	1.685	1.437	1.639	2.269	1.592	1.224	0.682	1.105	1.585	1.231	0.459	1.075
P11279	Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens GN=LAMP1 PE=1 SV=3	0.022	0.064	0.727	0.614	0.610	0.650	0.757	0.703	1.101	1.306	2.126	1.616	0.543	2.239
